"","site","long","lat"
"452","FHM 2168 Ertebølle",9.1845656,56.8142288
"453","FHM 2168 Ertebølle",9.1845656,56.8142288
"454","FHM 2168 Ertebølle",9.1845656,56.8142288
"455","FHM 2168 Ertebølle",9.1845656,56.8142288
"456","FHM 2168 Ertebølle",9.1845656,56.8142288
"457","FHM 2168 Ertebølle",9.1845656,56.8142288
"458","FHM 2168 Ertebølle",9.1845656,56.8142288
"459","FHM 2168 Ertebølle",9.1845656,56.8142288
"460","FHM 2168 Ertebølle",9.1845656,56.8142288
"461","FHM 2168 Ertebølle",9.1845656,56.8142288
"462","FHM 2168 Ertebølle",9.1845656,56.8142288
"463","FHM 2168 Ertebølle",9.1845656,56.8142288
"464","FHM 2168 Ertebølle",9.1845656,56.8142288
"465","FHM 2168 Ertebølle",9.1845656,56.8142288
"466","FHM 2168 Ertebølle",9.1845656,56.8142288
"467","FHM 2168 Ertebølle",9.1845656,56.8142288
"468","FHM 2168 Ertebølle",9.1845656,56.8142288
"469","FHM 2168 Ertebølle",9.1845656,56.8142288
"470","FHM 2168 Ertebølle",9.1845656,56.8142288
"471","FHM 2168 Ertebølle",9.1845656,56.8142288
"472","FHM 2168 Ertebølle",9.1845656,56.8142288
"473","FHM 2168 Ertebølle",9.1845656,56.8142288
"474","FHM 2168 Ertebølle",9.1845656,56.8142288
"475","FHM 2168 Ertebølle",9.1845656,56.8142288
"476","FHM 2168 Ertebølle",9.1845656,56.8142288
"477","FHM 2168 Ertebølle",9.1845656,56.8142288
"478","FHM 2168 Ertebølle",9.1845656,56.8142288
"479","FHM 2168 Ertebølle",9.1845656,56.8142288
"480","FHM 2168 Ertebølle",9.1845656,56.8142288
"481","FHM 2168 Ertebølle",9.1845656,56.8142288
"482","FHM 2168 Ertebølle",9.1845656,56.8142288
"483","FHM 2168 Ertebølle",9.1845656,56.8142288
"484","FHM 2168 Ertebølle",9.1845656,56.8142288
"485","FHM 2168 Ertebølle",9.1845656,56.8142288
"486","FHM 2168 Ertebølle",9.1845656,56.8142288
"487","FHM 2168 Ertebølle",9.1845656,56.8142288
"488","FHM 2168 Ertebølle",9.1845656,56.8142288
"489","FHM 2168 Ertebølle",9.1845656,56.8142288
"490","FHM 2168 Ertebølle",9.1845656,56.8142288
"491","FHM 2168 Ertebølle",9.1845656,56.8142288
"492","FHM 2168 Ertebølle",9.1845656,56.8142288
"493","FHM 2168 Ertebølle",9.1845656,56.8142288
"494","FHM 2168 Ertebølle",9.1845656,56.8142288
